სათაური,ავტორი,ფასი
პირველი სიყვარული. გაზაფხულის მღელვარე ნაკადები,ივან ტურგენევი,"16,90 ₾"
კაფკა პლაჟზე,ჰარუკი მურაკამი,"15,90 ₾"
პილატეს სახარება,ერიკ-ემანუელ შმიტი,"12,90 ₾"
ზაჰირი,პაულო კოელიო,"11,90 ₾"
გრეის ორმოცდაათი ელფერი,ე.ლ. ჯეიმზი,"16,90 ₾"
ალქიმიკოსი,პაულო კოელიო,"8,90 ₾"
გზა შუქურისკენ,ვირჯინია ვულფი,"14,90 ₾"
ნუ მოკლავ ჯაფარას,ჰარპერ ლი,"14,90 ₾"
შავი წიგნი,ორჰან ფამუქი,"12,90 ₾"
თერთმეტი წუთი,პაულო კოელიო,"10,90 ₾"
სისხლივით წითელი,სალა სიმუკა,"10,90 ₾"
"გოგონა, რომელმაც კრაზანების ბუდე დაანგრია",t.dolidze,"12,90 ₾"
